Acceleration: X [raw] , Acceleration: Y [raw] , Acceleration: Z [raw] , Pressure [raw] , Temperature [raw] , Cycle time [s] 
2195,-1239,3326,100,33,20
2091,-1223,3385,100,33,40
2148,-1213,3339,100,33,60
2170,-1237,3285,100,33,80
2232,-1231,3291,100,33,100
2200,-1280,3253,100,33,120
2118,-1253,3330,100,33,140
2114,-1206,3325,100,33,160
2110,-1247,3305,100,33,180
2090,-1226,3303,100,33,200
2147,-1186,3349,100,33,220
2169,-1194,3306,100,33,240
2110,-1186,3275,100,33,260
2133,-1167,3335,100,33,280
2107,-1225,3352,100,33,300
2224,-1232,3304,100,33,320
2151,-1223,3274,100,33,340
2044,-1207,3280,100,33,360
2085,-1209,3258,100,33,380
2054,-1263,3227,100,33,400
2142,-1268,3230,100,33,420
2138,-1294,3292,100,33,440
2077,-1237,3379,100,33,460
2017,-1175,3454,100,33,480
2106,-842,2797,100,33,500
2068,-1379,3434,100,33,520
2029,-1974,4562,100,33,540
2338,-1079,3032,100,33,560
2274,-1315,3090,100,33,580
2374,-1336,2838,100,33,600
2161,-1254,2720,100,33,620
2204,-1747,2662,100,33,640
1544,-1660,3097,100,33,660
1853,-1112,3850,100,33,680
1507,-1333,3470,100,33,700
1913,-1696,3716,100,33,720
1762,-1329,4295,100,33,740
1858,-1058,4393,100,33,760
2173,-911,4605,100,33,780
3444,-391,3742,100,33,800
4356,-368,3489,100,33,820
4162,-456,3707,100,33,840
3021,-712,2576,100,33,860
2986,-554,1072,100,33,880
2366,-1304,978,100,33,900
3640,96,260,100,33,920
2055,-297,616,100,33,940
-1873,-2454,104,100,33,960
1391,-2637,1729,100,33,980
5740,-4892,8191,100,33,1000
5248,-2366,7538,100,33,1020
2169,-2086,3433,100,33,1040
809,-1191,104,100,33,1060
2773,-847,-10,100,33,1080
2790,-731,571,100,33,1100
1481,-3336,-1396,100,33,1120
1601,-1923,-1283,100,33,1140
3896,253,3354,100,33,1160
7876,-594,8191,100,33,1180
